asin,title,description,price,brand,rank,main_cat,sub-category,product_image
B00014353Y,OPI Nail Lacquer| A Great Opera-tunity| 0.5 Fl Oz,,8.4,,138147,Luxury Beauty,,https://images-na.ssl-images-amazon.com/images/I/41JMexGj27L.jpg
B00014353E,OPI Iceland Nail Lacquer Collection,,8.4,,27440,Luxury Beauty,,https://images-na.ssl-images-amazon.com/images/I/31kzqcClCuL.jpg
B0001433YK,OPI Infinite Shine,,13,,669127,Luxury Beauty,,https://images-na.ssl-images-amazon.com/images/I/41ZOXXjciJL.jpg
B00014GT8W,Dermablend Cover Creme Full Coverage Foundation with SPF 30| 1 Oz,,39,,25522,Luxury Beauty,,https://images-na.ssl-images-amazon.com/images/I/41yiFJu3PeL.jpg
B0001EKTTC,Glytone Rejuvenating Mask| 3 oz.,,49,,96424,Luxury Beauty,,https://images-na.ssl-images-amazon.com/images/I/411mybce8lL.jpg
B0001EKVCW,jane iredale Lip Pencil,,15,,233606,Luxury Beauty,,https://images-na.ssl-images-amazon.com/images/I/214XSsdyCQL.jpg
B0001EKVGS,jane iredale PurePressed Eye Shadow,,22,,112732,Luxury Beauty,,https://images-na.ssl-images-amazon.com/images/I/51Tand%2BoLZL.jpg
B0001EKYEM,jane iredale PureLash Lengthening Mascara,,24,,15546,Luxury Beauty,,https://images-na.ssl-images-amazon.com/images/I/31DuX29CGYL.jpg
B0001EL4Q4,glo Minerals Eye Shadow| Diamond,,20,,302148,Luxury Beauty,,https://images-na.ssl-images-amazon.com/images/I/41gOS69nYOL.jpg
B0001EL5Q8,PCA SKIN Rejuvenating Serum| 1 fl. oz.,,69,,22770,Luxury Beauty,,https://images-na.ssl-images-amazon.com/images/I/31vsi6kv1PL.jpg
B0001EL4TQ,glo Minerals Eye Shadow| Mink,,20,,272200,Luxury Beauty,,https://images-na.ssl-images-amazon.com/images/I/51ym9mRpVsL.jpg
B0001EL5JA,PCA SKIN  Protecting Hydrator Broad Spectrum SPF 30| 1.7 oz.,,36,,27830,Luxury Beauty,,https://images-na.ssl-images-amazon.com/images/I/31eS5cT007L.jpg
B0001EL4EQ,Glo Skin Beauty Pressed Base - Mineral Makeup Pressed Powder Foundation| 20 Shades|Cruelty Free,,48,,234230,Luxury Beauty,,https://images-na.ssl-images-amazon.com/images/I/41Q-HHOXAiL.jpg
B0001EL4M8,Glo Minerals Moist Hydration Mist 2.0 oz,,22,,217411,Luxury Beauty,,https://images-na.ssl-images-amazon.com/images/I/21gB9eUCvfL.jpg
B0001EL5H2,Glo Skin Beauty Pencil Sharpener - Black,,10,,335549,Luxury Beauty,,https://images-na.ssl-images-amazon.com/images/I/41VgZ5n-fTL.jpg
B0001EL5KO,PCA SKIN Apregraves Peel Hydrating Balm| 1.7 oz.,,44,,17990,Luxury Beauty,,https://images-na.ssl-images-amazon.com/images/I/51lfXghSmNL.jpg
B0001EL5R2,PCA SKIN Acne Cream/Gel,,28,,20432,Luxury Beauty,,https://images-na.ssl-images-amazon.com/images/I/319QN2HgKfL.jpg
B0001EL9BO,jane iredale Amazing Base Loose Mineral Powder,,44,,71226,Luxury Beauty,,https://images-na.ssl-images-amazon.com/images/I/417erx3WtUL.jpg
B0001EL0WC,NEOVA Night Therapy| 1.7 Fl Oz,,85,,77438,Luxury Beauty,,https://images-na.ssl-images-amazon.com/images/I/41WbWFzdGAL.jpg
B0001EL4DC,Glo Skin Beauty Pressed Base - Mineral Makeup Pressed Powder Foundation| 20 Shades|Cruelty Free,,48,,40349,Luxury Beauty,,https://images-na.ssl-images-amazon.com/images/I/41XE-KoI0hL.jpg
B0001F3QV4,blinc Heated Lash Curler,,24,,59539,Luxury Beauty,,https://images-na.ssl-images-amazon.com/images/I/21SevPrmJlL.jpg
B0001NAYOI,Pevonia Eye Makeup Remover Lotion| 6.8 Fl Oz,,30,,259929,Luxury Beauty,,https://images-na.ssl-images-amazon.com/images/I/319QXTTxqDL.jpg
B0001QNKRI,June Jacobs Cooling Cucumber Cleanser| 3.8 Fl Oz,,44,,616694,Luxury Beauty,,https://images-na.ssl-images-amazon.com/images/I/31y6Pgrs9tL.jpg
B0001QNL5Y,June Jacobs Cranberry Hydrating Toner| 6.7 Fl Oz,,29,,410179,Luxury Beauty,,https://images-na.ssl-images-amazon.com/images/I/41Z-Sk-fO6L.jpg
B0001QNL0Y,June Jacobs Lemon Sugar Body Polish| 6 Fl Oz,,48,,898746,Luxury Beauty,,https://images-na.ssl-images-amazon.com/images/I/41IYrm7YkOL.jpg
B0001UWRCI,Yu-Be Japanrsquos secret for dry skin relief. Deep hydrating moisturizing cream for face| hand and body. Fast acting amp non-greasy. No artificial colors or fragrances. Tube| 1 Fl Oz,,13.68,,16127,Luxury Beauty,,https://images-na.ssl-images-amazon.com/images/I/41WPQl0cexL.jpg
B0001XDU2Q,Anthony Glycolic Facial Cleanser,,28,,12891,Luxury Beauty,,https://images-na.ssl-images-amazon.com/images/I/41mYLSo9ZrL.jpg
B0001Y74TU,Finishing Mist Setting amp Holding Spray,,10,,64080,Luxury Beauty,,https://images-na.ssl-images-amazon.com/images/I/31t5QqXN1xL.jpg
B0001Y74WM,Curl Quencher Moisturizing Conditioner,,20,,27630,Luxury Beauty,,https://images-na.ssl-images-amazon.com/images/I/41tSW2gTgBL.jpg
B0001Z66UM,Toppik Fiber Hold Spray| 4 oz,,9.95,,1598,Luxury Beauty,,https://images-na.ssl-images-amazon.com/images/I/31FA%2BFVh%2BfL.jpg
B0001Z980C,NEOVA Radiant Skin Cleanser| 8 Fl Oz,,40,,53135,Luxury Beauty,,https://images-na.ssl-images-amazon.com/images/I/31jOdzF995L.jpg
B0001ZA4M8,Osmotics Cosmeceuticals Age Prevention Protection Extreme SPF 45| 2.5 oz.,,37,,358441,Luxury Beauty,,https://images-na.ssl-images-amazon.com/images/I/21iOi5MC-aL.jpg
B00021AKJI,Calvin Klein ETERNITY for Men Eau de Toilette| 3.4 fl. oz.,,82,,16726,Luxury Beauty,,https://images-na.ssl-images-amazon.com/images/I/41Z3u-ckZfL.jpg
B00021AJ5I,Calvin Klein ETERNITY Eau de Parfum| 3.4 fl. oz.,,88,,27950,Luxury Beauty,,https://images-na.ssl-images-amazon.com/images/I/41Chr8cMm9L.jpg
B00021B3XU,stila Convertible Color Dual Lip and Cheek Cream,,25,,291321,Luxury Beauty,,https://images-na.ssl-images-amazon.com/images/I/51o2sgjOE9L.jpg
B00021CDQ6,Jack Black Double-Duty Face Moisturizer SPF 20,,17.5,,11741,Luxury Beauty,,https://images-na.ssl-images-amazon.com/images/I/41WeEzEVMaL.jpg
B00021D1DK,Mustela Bust Firming Serum| Breast Firming Serum for Pregnancy| with Natural Avocado Perseose,,27,,90688,Luxury Beauty,,https://images-na.ssl-images-amazon.com/images/I/416UvfnPH5L.jpg
B00021D2Z2,Mustela Nourishing Stick With Cold Cream| Ceramides and Natural Avocado Perseose| Moisturizer for Baby Skin,,9.5,,13169,Luxury Beauty,,https://images-na.ssl-images-amazon.com/images/I/51I9akZ%2BLXL.jpg
B00021DEY6,Cargo Blush,,26,,281140,Luxury Beauty,,https://images-na.ssl-images-amazon.com/images/I/51G6fGdXOQL.jpg
B00021CJ56,stila Illuminating Powder Foundation Refill,,22.4,,62083,Luxury Beauty,,https://images-na.ssl-images-amazon.com/images/I/31s5AOeZ6gL.jpg
B00021DBA8,PHYTOCYANE Botanical Revitalizing Serum | Thinning Hair| Women | Drug-Free| Cosmetic amp Anti-Aging Benefits | Promotes Fuller Thicker Hair| Healthy Hair Growth | Keratin | Paraben| Silicon| Gluten Free,,65,,23055,Luxury Beauty,,https://images-na.ssl-images-amazon.com/images/I/410v8BC8nqL.jpg
B00021D2XO,Mustela Cleansing Wipes| Ultra Soft Baby Wipes with Natural Avocado Perseose and Aloe Vera| Lightly Scented| available in 1 Pack 25 Count or 3 Pack 75 Count,,9,,21065,Luxury Beauty,,https://images-na.ssl-images-amazon.com/images/I/4196j8mjeIL.jpg
B00021DOZ0,PHYTOLISSE SERUM Botanical Ultra Glossing Finishing Serum | Leave-In | Softens| Smoothens| Anti-Frizz| Tames Flyaways| Provides Shine| Conditions Lengths amp Ends | Rosemary | Sulfate Free| Gluten Free,,29.98,,34389,Luxury Beauty,,https://images-na.ssl-images-amazon.com/images/I/21c7JjYIOnL.jpg
B00021UR3C,Green Tea by Elizabeth Arden| 1.5 Ounce,,12,,17221,Luxury Beauty,,https://images-na.ssl-images-amazon.com/images/I/31b%2BzxiZrfL.jpg
B00025WYZC,Crabtree amp Evelyn Body Lotion| Rosewater| 16.9 fl oz,,28,,17305,Luxury Beauty,,https://images-na.ssl-images-amazon.com/images/I/31HbwmzrkuL.jpg
B00026ITZA,NEOVA Day Therapy SPF 30| 1.7 Fl Oz,,85,,223899,Luxury Beauty,,https://images-na.ssl-images-amazon.com/images/I/41jtFCA4k3L.jpg
B00027U5QA,The Art of Shaving Hair Conditioner,,24,,118226,Luxury Beauty,,https://images-na.ssl-images-amazon.com/images/I/41y6AvBoO5L.jpg
B0002AASE6,The Art of Shaving After-Shave Balm| Sandalwood| 1 oz,,18,,36382,Luxury Beauty,,https://images-na.ssl-images-amazon.com/images/I/51RNS1CFKQL.jpg
B0002CEIQ8,La Roche-Posay Thermal Spring Water for Sensitive Skin,,9.99,,36727,Luxury Beauty,,https://images-na.ssl-images-amazon.com/images/I/41DxqsDm5PL.jpg
B0002H842C,jane iredale PurePressed Blush| 0.10 oz.,,30,,83063,Luxury Beauty,,https://images-na.ssl-images-amazon.com/images/I/41hkAdD4EQL.jpg
B0002JBXG4,Elizabeth Arden Fifth Avenue Moisturizing Body Lotion| 6.8 oz,,25,,57666,Luxury Beauty,,https://images-na.ssl-images-amazon.com/images/I/31gdPta6GuL.jpg
B0002L2JLU,Citrix Vitamin C Antioxidant Sunscreen| 3.5 Oz,,37.5,,63051,Luxury Beauty,,https://images-na.ssl-images-amazon.com/images/I/41SWIpeXsHL.jpg
B0002L2JT2,Glycolix Elite Facial Cream Ultra Lite| 1.6 oz,,28,,59404,Luxury Beauty,,https://images-na.ssl-images-amazon.com/images/I/41Wa7DEGC2L.jpg
B0002L2JLA,Citrix Vitamin C Antioxidant Eye Cream| 0.5 Oz,,39.5,,169899,Luxury Beauty,,https://images-na.ssl-images-amazon.com/images/I/31iriDi8-fL.jpg
B0002L93N2,HOT TOOLS Professional 24k Gold Extra-Long Barrel Curling Iron/Wand for Long Lasting Results,,59.99,,4357,Luxury Beauty,,https://images-na.ssl-images-amazon.com/images/I/316r1RgRBPL.jpg
B0002LK3XG,Pevonia Vitamin Concentrate| 0.5 Fl Oz,,40.5,,69230,Luxury Beauty,,https://images-na.ssl-images-amazon.com/images/I/31rVUf4X8cL.jpg
B0002MES86,Lacoste Style in Play Eau de Toilette for Men,,60,,157317,Luxury Beauty,,https://images-na.ssl-images-amazon.com/images/I/41dMGsIlQzL.jpg
B0002MFL00,Biopelle 2.2% Glycolic Acid Exfoliating Cream Cleanser,,29.7,,495484,Luxury Beauty,,https://images-na.ssl-images-amazon.com/images/I/31zY%2BOkSPSL.jpg
B0002MPS7G,Glycolix Elite Glycolic Acid Exfoliating Treatment Pads| 60 Count,,30.73,,29916,Luxury Beauty,,https://images-na.ssl-images-amazon.com/images/I/41YirD9WBLL.jpg
B0002PFDYQ,Archipelago Havana Excursion Candle Jars,,19.5,,13840,Luxury Beauty,,https://images-na.ssl-images-amazon.com/images/I/61x3X3leY1L.jpg
B0002PFG16,Archipelago Pomegranate Citrus Soy Candle,,24.5,,113245,Luxury Beauty,,https://images-na.ssl-images-amazon.com/images/I/41e-7LQ%2Bg1L.jpg
B0002RI2PG,Dermablend Loose Setting Powder,,27,,1437,Luxury Beauty,,https://images-na.ssl-images-amazon.com/images/I/41H%2BD9hGZGL.jpg
B0002SHUQC,HOT TOOLS Professional 24K Gold Marcel Iron/Wand for Long Lasting Results,,49.99,,40670,Luxury Beauty,,https://images-na.ssl-images-amazon.com/images/I/31kW%2B6EPLPL.jpg
B0002SHTZE,HOT TOOLS Professional 24k Gold Extra-Long Barrel Curling Iron/Wand for Long Lasting Results,,49.99,,19624,Luxury Beauty,,https://images-na.ssl-images-amazon.com/images/I/31pCvubu-DL.jpg
B0002SHUPI,HOT TOOLS Professional 24K Gold Marcel Iron/Wand for Long Lasting Results,,38.01,,35913,Luxury Beauty,,https://images-na.ssl-images-amazon.com/images/I/31im1ZXuvbL.jpg
B0002VNKRW,Ouidad PlayCurl Curl Amplifying Foam for Unisex| 8 Fl Oz,,26,,28323,Luxury Beauty,,https://images-na.ssl-images-amazon.com/images/I/31XzdSchmdL.jpg
B0002VNKPY,Curl Quencher Moisturizing Styling Gel,,26,,15072,Luxury Beauty,,https://images-na.ssl-images-amazon.com/images/I/41R1CRkaaeL.jpg
B0002X4F0Q,PCA SKIN Blemish Control Bar| 3.2 fl. oz.,,40,,28282,Luxury Beauty,,https://images-na.ssl-images-amazon.com/images/I/41Gka9iyIBL.jpg
B0002X3SH2,PCA SKIN BPO 5% Cleanser| 7 fl. oz.,,38,,8320,Luxury Beauty,,https://images-na.ssl-images-amazon.com/images/I/21eenN7XzpL.jpg
B0002X9038,PCA SKIN Pigment Gel| 1 oz,,45,,12397,Luxury Beauty,,https://images-na.ssl-images-amazon.com/images/I/31mhQnkT13L.jpg
B0002XBTVO,PCA SKIN Clearskin Facial Cream| 1.7 fl. oz,,44,,6748,Luxury Beauty,,https://images-na.ssl-images-amazon.com/images/I/41UBppxKCSL.jpg
B0002Y5JEG,Jurlique Moisture Replenishing Day Cream| 4.3 oz,,68.6,,28960,Luxury Beauty,,https://images-na.ssl-images-amazon.com/images/I/41ckO4MDlgL.jpg
B0002YYE3S,Revivogen Scalp Therapy Serum MD 3 bottles,,104,,342330,Luxury Beauty,,https://images-na.ssl-images-amazon.com/images/I/51dQVH0C4zL.jpg
B0002Z8LOA,RUSK Designer Collection Radical Creme Thickening and Texturizing Cregraveme,,14.5,,16667,Luxury Beauty,,https://images-na.ssl-images-amazon.com/images/I/419snutEU7L.jpg
B0002Z90RM,RUSK Designer Collection Thick Body and Texture Amplifier,,14.5,,7707,Luxury Beauty,,https://images-na.ssl-images-amazon.com/images/I/41wBX0Fe-NL.jpg
B0002ZODAG,MenScience Androceuticals Advanced Lip Protection SPF 30,,12,,257294,Luxury Beauty,,https://images-na.ssl-images-amazon.com/images/I/31kRVjcQ06L.jpg
B0002ZOF22,MenScience Androceuticals Daily Body Wash| 12 fl. oz.,,25,,75541,Luxury Beauty,,https://images-na.ssl-images-amazon.com/images/I/41zh1ADiUCL.jpg
B0002ZOD9M,MenScience Androceuticals Daily Face Wash| 8 fl. oz.,,28,,44328,Luxury Beauty,,https://images-na.ssl-images-amazon.com/images/I/414ROy8qwaL.jpg
B0002ZOF2M,MenScience Androceuticals Advanced Shave Formula,,27,,52313,Luxury Beauty,,https://images-na.ssl-images-amazon.com/images/I/31dK%2BC0gFML.jpg
B0002ZOF36,MenScience Androceuticals Pigmentation Repair Formula| 2 oz.,,53,,416356,Luxury Beauty,,https://images-na.ssl-images-amazon.com/images/I/51Lv0hySLuL.jpg
B0002ZODA6,MenScience Androceuticals Advanced Face Lotion,,39,,25751,Luxury Beauty,,https://images-na.ssl-images-amazon.com/images/I/31%2BzGv6aOsL.jpg
B0002ZOF2C,MenScience Androceuticals Daily Shampoo| 12 fl. oz.,,26,,43192,Luxury Beauty,,https://images-na.ssl-images-amazon.com/images/I/31uVbI-qXrL.jpg
B0002ZOD9W,MenScience Microfine Face Scrub| All Skin Types| 130 ml| 4.4 Fluid Ounce,,31,,160024,Luxury Beauty,,https://images-na.ssl-images-amazon.com/images/I/313ueRj157L.jpg
B0002ZOF2W,MenScience Androceuticals Post-Shave Repair| 4 fl. oz.,,30,,89272,Luxury Beauty,,https://images-na.ssl-images-amazon.com/images/I/31dYJ82HUHL.jpg
B0002ZW5UQ,TOPPIK Hair Building Fibers,,46.95,,5916,Luxury Beauty,,https://images-na.ssl-images-amazon.com/images/I/41HuGvGAVEL.jpg
B0002ZZT5Y,Glycolix Elite Fortified Facial Cream| 1.6 oz,,30.5,,37543,Luxury Beauty,,https://images-na.ssl-images-amazon.com/images/I/51rXhkFI3oL.jpg
B0003MJITY,Glo Minerals Precision Lip Pencil| Rosewood| .04 Ounce,,18,,304392,Luxury Beauty,,https://images-na.ssl-images-amazon.com/images/I/21KGqiKtT9L.jpg
B0003MJFSS,Glo Skin Beauty Precision Brow Pencil - Blonde - Eyebrow Pencil| 3 Shades | Cruelty Free,,20,,206224,Luxury Beauty,,https://images-na.ssl-images-amazon.com/images/I/21yyFf5%2B2TL.jpg
B00063M3EC,Marvis Jasmin Mint Toothpaste| 3.8 oz,,10.5,,4363,Luxury Beauty,,https://images-na.ssl-images-amazon.com/images/I/41pfBK95vuL.jpg
B00067WIZC,Red Flower Japanese Peony Purifying Body Wash| 8 oz,,22,,587849,Luxury Beauty,,https://images-na.ssl-images-amazon.com/images/I/41wClbI2zCL.jpg
B00067WJ56,Red Flower Spanish Gardenia Purifying Body Wash| 8 oz,,22,,476207,Luxury Beauty,,https://images-na.ssl-images-amazon.com/images/I/41465tGfxUL.jpg
B00067WRC6,Sesderma Acglicolic Classic Moisturizing Gel| Fuchsia| 1.7 oz.,,64,,835418,Luxury Beauty,,https://images-na.ssl-images-amazon.com/images/I/318pbdB2jML.jpg
B00067WRNU,Sesderma Acglicolic Classic Cleansing  Milk| 6.8 Fl Oz,,32,,279400,Luxury Beauty,,https://images-na.ssl-images-amazon.com/images/I/31cKCTU9PBL.jpg
B00067WJ42,Red Flower Indian Jasmine Purifying Body Wash| 8 oz,,22,,207557,Luxury Beauty,,https://images-na.ssl-images-amazon.com/images/I/410igkFoaWL.jpg
B000684GPQ,Sesderma Kojicol Facial Skin Gel| 1.0 oz.,,46,,334499,Luxury Beauty,,https://images-na.ssl-images-amazon.com/images/I/31FGcCJ3E7L.jpg
B000684HU0,Sesderma Daeses Facial Gel Cream| Red| 1.7 oz.,,58,,436761,Luxury Beauty,,https://images-na.ssl-images-amazon.com/images/I/31S5xfpNJAL.jpg
B000684HEG,SESDERMA C-VIT- Crema Hidratante Facial Vitamina C + Ginkgo Biloba + Extracto naranja dulce | Anti Edad| Anti Manchas| Aclarante| Reafirmante| Nutre y Repara | 50 ml,,48,,73350,Luxury Beauty,,https://images-na.ssl-images-amazon.com/images/I/31LlYtceOgL.jpg
B000684H1Y,Sesderma SALISES Moisturizing Gel Cream| 1.7 Fl Oz,,46,,186986,Luxury Beauty,,https://images-na.ssl-images-amazon.com/images/I/31Qv2IVS1PL.jpg
B000684H28,Sesderma SALISES Focal Gel| 0.5 Fl Oz,,26,,375180,Luxury Beauty,,https://images-na.ssl-images-amazon.com/images/I/21pYDGLENYL.jpg
B000684HGE,Sesderma Estryses Body Moisturizing Cream for Stretch Marks| 6.8 oz.,,52,,375942,Luxury Beauty,,https://images-na.ssl-images-amazon.com/images/I/21jwUkjoTyL.jpg
B000684HJG,Sesderma Seskavel  Anti-Hair loss Shampoo| 6.8 Fl Oz,,28,,183218,Luxury Beauty,,https://images-na.ssl-images-amazon.com/images/I/313zquLZ1OL.jpg
B000684HDW,Sesderma C-Vit Facial Serum |5 Count,,96,,864229,Luxury Beauty,,https://images-na.ssl-images-amazon.com/images/I/41aH7hzw3pL.jpg
B000684HUA,Sesderma Daeses Facial Cream| Red| 1.7 oz.,,60,,352960,Luxury Beauty,,https://images-na.ssl-images-amazon.com/images/I/41ehvX88xLL.jpg
B0006B43SS,The Art of Shaving Brush Stand Black,,8,,19655,Luxury Beauty,,https://images-na.ssl-images-amazon.com/images/I/317u8A45GpL.jpg
B0006B4VVW,Baxter of California After Shave Balm| Cooling Sensation| 4 fl. oz.,,19,,9039,Luxury Beauty,,https://images-na.ssl-images-amazon.com/images/I/31nEzh8BQUL.jpg
B0006BDS7U,Tan Towel Self Tan Towelette Plus| 5 Count,,29,,28057,Luxury Beauty,,https://images-na.ssl-images-amazon.com/images/I/41sSqfVN%2BWL.jpg
B0006BDTWY,Anthony Anti-Aging Vitamin C Serum| 1 oz.,,46,,57860,Luxury Beauty,,https://images-na.ssl-images-amazon.com/images/I/31-lZSRMPnL.jpg
B0006FMUJ8,Glo Skin Beauty Precision Brow Pencil - Brown - Eyebrow Pencil| 3 Shades | Cruelty Free,,20,,271580,Luxury Beauty,,https://images-na.ssl-images-amazon.com/images/I/214tqXXs1-L.jpg
B0006FMQWO,PCA SKIN Facial Wash| 7 fl. Oz.,,32,,6876,Luxury Beauty,,https://images-na.ssl-images-amazon.com/images/I/21MaHiu2O8L.jpg
B0006FMR28,PCA SKIN C-Quench Antioxidant Serum| 1 fl. oz.,,75,,50881,Luxury Beauty,,https://images-na.ssl-images-amazon.com/images/I/31DMKlOYyGL.jpg
B0006JDR64,eShave Fine Badger Hair Shaving Brush,,60,,1144760,Luxury Beauty,,https://images-na.ssl-images-amazon.com/images/I/41tkKGiDJlL.jpg
B0006LJ45U,Elizabeth Arden Flawless Finish Mousse Makeup,,35,,198782,Luxury Beauty,,https://images-na.ssl-images-amazon.com/images/I/312QForUH-L.jpg
B0006NF8CG,Susan Ciminelli Hydrating Formula| 1 Fl Oz,,110,,308222,Luxury Beauty,,https://images-na.ssl-images-amazon.com/images/I/31tEpZCDrmL.jpg
B0006NF8GM,Susan Ciminelli Hydrating Gel Mask| 2 Fl Oz,,75,,739687,Luxury Beauty,,https://images-na.ssl-images-amazon.com/images/I/41GoLnEO6hL.jpg
B0006NF8GW,Susan Ciminelli Sea Clay Mask| 2 Fl Oz,,55,,379812,Luxury Beauty,,https://images-na.ssl-images-amazon.com/images/I/411Cu3R6CKL.jpg
B0006NXBIE,Mason Pearson Handy Mixture Bristle/nylon Mix Hair Brush-ruby Handle,,150,,42683,Luxury Beauty,,https://images-na.ssl-images-amazon.com/images/I/41QxM63PzML.jpg
B0006NY1AQ,Vichy Nutrilogie 2 Intense Moisturizer for Very Dry Skin| 1.69 Fl. Oz.,,33,,93037,Luxury Beauty,,https://images-na.ssl-images-amazon.com/images/I/41Q0m7PhnhL.jpg
B0006O4M8Q,JACK BLACK ndash Industrial Strength Hand Healer ndash Hard Working Hand Cream| PureScience Formula| Non-Greasy| Soothe Dry and Chapped Hands| Vitamin A and E| Macadamia Nut Oil| 3 and 16 oz.,,15,,2004,Luxury Beauty,,https://images-na.ssl-images-amazon.com/images/I/41Su1NQlIZL.jpg
B0006OMG8O,Vichy Mineralizing Thermal Water Rich in 15 Minerals| 5.1 Fl. Oz,,9.5,,63834,Luxury Beauty,,https://images-na.ssl-images-amazon.com/images/I/41YM9f%2BVoEL.jpg
B0006PJRNA,ZOYA Nail Polish| Kat| 0.5 Fluid Ounce,,10,,462584,Luxury Beauty,,https://images-na.ssl-images-amazon.com/images/I/31GWr-JE8AL.jpg
B0006PJRQ2,ZOYA Nail Polish| Max| 0.5 Fluid Ounce,,10,,350843,Luxury Beauty,,https://images-na.ssl-images-amazon.com/images/I/41yynoVBNsL.jpg
B0006PJRRG,ZOYA Nail Polish| 0.5 fl. oz.,,10,,137129,Luxury Beauty,,https://images-na.ssl-images-amazon.com/images/I/21qQq2RUE-L.jpg
B0006PJRVM,ZOYA Nail Polish| 0.5 fl. oz.,,10,,55371,Luxury Beauty,,https://images-na.ssl-images-amazon.com/images/I/21LIDPMO03L.jpg
B0006PKIQA,Marvis Classic Strong Mint Toothpaste,,10.5,,1484,Luxury Beauty,,https://images-na.ssl-images-amazon.com/images/I/51DWRJkfvRL.jpg
B0006PLNPU,ZOYA Nail Polish| Bebe| 0.5 Fluid Ounce,,10,,181629,Luxury Beauty,,https://images-na.ssl-images-amazon.com/images/I/41qndAM5CqL.jpg
B0006PLNXW,ZOYA Nail Polish| Haley| 0.5 Fluid Ounce,,10,,331212,Luxury Beauty,,https://images-na.ssl-images-amazon.com/images/I/21qQq2RUE-L.jpg
B0006PLPE4,ZOYA Armor Top Coat| 0.5 Fluid Ounce,,10,,8651,Luxury Beauty,,https://images-na.ssl-images-amazon.com/images/I/41DV-Hkk8eL.jpg
B0006PLPDU,Zoya Anchor Base Coat| 0.5 Fluid Ounce,,10,,12194,Luxury Beauty,,https://images-na.ssl-images-amazon.com/images/I/41UXMCE79FL.jpg
B0006VSVJ0,Glo Skin Beauty Under Eye Concealer,,32,,292956,Luxury Beauty,,https://images-na.ssl-images-amazon.com/images/I/41fQ4sMkMhL.jpg
B0006ZEVUY,Paul Mitchell Baby Dont Cry Shampoo|16.9 Fl Oz,,22,,10632,Luxury Beauty,,https://images-na.ssl-images-amazon.com/images/I/41bY3diDghL.jpg
B0006ZEVU4,Tea Tree Special Shampoo,,21,,18257,Luxury Beauty,,https://images-na.ssl-images-amazon.com/images/I/313xSTX4uPL.jpg
B0006ZHJXK,Paul Mitchell Super Clean Extra Finishing Spray Firm Style Unisex| 3.5 Ounce,,12.15,,154332,Luxury Beauty,,https://images-na.ssl-images-amazon.com/images/I/31DIbOo7TIL.jpg
